date;price;market_cap;total_volume
2021-08-01;0,21309;27955385438;2028990907
2021-08-02;0,20680;26416716627;1882827394
2021-08-03;0,20387;26644210985;1012290886
2021-08-04;0,19650;25785827888;1036830115
2021-08-05;0,20165;26408177704;962533709
2021-08-06;0,20061;26330675954;1109943587
2021-08-07;0,20515;26821969245;1213952378
2021-08-08;0,25684;33550668704;5055948133
2021-08-09;0,23888;31238430538;5671545397
2021-08-10;0,25566;33056644376;3847114816
2021-08-11;0,25745;33601237795;2974048189
2021-08-12;0,26593;34808796725;4170979331
2021-08-13;0,26525;34729751177;4540100218
2021-08-14;0,28650;37271229392;3060479635
2021-08-15;0,29245;38430885600;3761196113
2021-08-16;0,33820;44252032897;6519860020
2021-08-17;0,32064;42269378095;5527423994
2021-08-18;0,29785;38987523642;4619101460
2021-08-19;0,30498;39924385528;5030258842
2021-08-20;0,31391;40377081622;3314193220
2021-08-21;0,32716;42757310851;3003645598
2021-08-22;0,31685;41491614913;2219159989
2021-08-23;0,31413;41187995247;1919024711
2021-08-24;0,31805;41698354295;2493171819
2021-08-25;0,28950;37922229343;2760490446
2021-08-26;0,29307;38396676017;2155379874
2021-08-27;0,27303;35773389027;2079136313
2021-08-28;0,29372;38550123418;1989544801
2021-08-29;0,28592;37470326302;1313330274
2021-08-30;0,28177;36883310701;1282203149
2021-08-31;0,27242;35462720002;1568735112
2021-09-01;0,27904;36566091552;1560409724
2021-09-02;0,29344;38342017497;1738116785
2021-09-03;0,29620;38819265915;2699139125
2021-09-04;0,29603;38818547694;2081922369
2021-09-05;0,30016;39363399710;1964249166
2021-09-06;0,31289;40951813826;2082920314
2021-09-07;0,30971;40624959969;2245729272
2021-09-08;0,25534;33371857563;4813878570
2021-09-09;0,25657;33662035511;2760848634
2021-09-10;0,25281;33171982000;1529800674
2021-09-11;0,24018;31486963338;1562458807
2021-09-12;0,24120;31643808716;1006708882
2021-09-13;0,25141;33147948232;1276696517
2021-09-14;0,23708;31092254136;1596229042
2021-09-15;0,24107;31648603798;872222557
2021-09-16;0,24733;32473677223;898438546
2021-09-17;0,24258;31853439636;1067493820
2021-09-18;0,24094;31640998451;1986733762
2021-09-19;0,24189;31788925028;912228844
2021-09-20;0,23450;30802148835;820705632
2021-09-21;0,20768;27179947492;1920244277
2021-09-22;0,19962;26210995473;1556838499
2021-09-23;0,22466;29476367021;1753590768
2021-09-24;0,22554;29706605970;993468486
2021-09-25;0,20912;27662713843;1650842494
2021-09-26;0,21037;27568061035;941382052
2021-09-27;0,20572;27453142737;1069225817
2021-09-28;0,20031;26298507457;756949506
2021-09-29;0,19665;25854555239;770680217
2021-09-30;0,19960;26244810644;793650713
2021-10-01;0,20467;26892267861;772968140
2021-10-02;0,22271;29264176785;1253107757
2021-10-03;0,21927;28843582962;1018419282
2021-10-04;0,22218;29235159256;962415745
2021-10-05;0,24322;32067553483;3200327908
2021-10-06;0,25169;33115303228;4068637354
2021-10-07;0,25255;33034727303;4110248359
2021-10-08;0,24344;32035841670;2758950037
2021-10-09;0,24297;32012438945;1764985515
2021-10-10;0,24716;32546913547;1347892633
2021-10-11;0,22930;30206110262;1155512151
2021-10-12;0,23196;30419356234;1283161881
2021-10-13;0,22635;29817766316;1692336319
2021-10-14;0,23276;30638244804;1257916343
2021-10-15;0,23298;30658843961;1246214724
2021-10-16;0,23504;30955860407;1697000571
2021-10-17;0,23856;31422718667;1411776663
2021-10-18;0,23794;31344062761;1339251268
2021-10-19;0,24612;32573725269;4425113299
2021-10-20;0,24655;32512665553;1653401803
2021-10-21;0,25452;33806328665;1734041308
2021-10-22;0,24353;32093653209;1710214523
2021-10-23;0,24643;32506463987;1864736299
2021-10-24;0,25150;33061597043;1578066916
2021-10-25;0,27830;36687265385;4942300324
2021-10-26;0,26501;34941224252;3340089767
2021-10-27;0,25678;33859397597;2714016376
2021-10-28;0,23917;31540178380;4746122253
2021-10-29;0,29958;39511206991;18011898078
2021-10-30;0,28881;38184788655;5883306861
2021-10-31;0,26830;35341200121;3599197250
2021-11-01;0,27977;36909621915;4382941811
2021-11-02;0,27208;35921018083;2938224696
2021-11-03;0,27388;36049337832;2448991837
2021-11-04;0,26969;35494937229;2283948676
2021-11-05;0,26361;34522303123;1890709185
2021-11-06;0,26181;34507961356;1653890893
2021-11-07;0,26251;34667024254;1589126693
2021-11-08;0,26659;35265876568;1309857042
2021-11-09;0,28227;37320250692;3923628087
2021-11-10;0,27416;36274785710;2342348652
2021-11-11;0,25573;33523008508;2821821733
2021-11-12;0,26140;34629265046;1818556218
2021-11-13;0,25935;34255307730;1686591915
2021-11-14;0,26244;34667769849;1344220250
2021-11-15;0,26447;34939809035;1614387238
2021-11-16;0,25800;34088301573;1025389485
2021-11-17;0,23878;31552704883;2041858402
2021-11-18;0,23887;31574976729;1412685827
2021-11-19;0,22168;29299038497;1731616054
2021-11-20;0,23426;30964779016;1333859590
2021-11-21;0,23466;31021026022;934351229
2021-11-22;0,22867;30345535042;919422181
