snapped_at;price;market_cap;total_volume
2021-09-06 00:00:00 UTC;51696;971284117138;31765191430
2021-09-07 00:00:00 UTC;52740;992868819862;37532574717
2021-09-08 00:00:00 UTC;46995;881943904969;64010507329
2021-09-09 00:00:00 UTC;46085;866885887154;48151104381
2021-09-10 00:00:00 UTC;46519;876179332244;38581092904
2021-09-11 00:00:00 UTC;44803;842222636395;38051987740
2021-09-12 00:00:00 UTC;45196;849828231596;34160277726
2021-09-13 00:00:00 UTC;46195;869122611514;27585855039
2021-09-14 00:00:00 UTC;45140;848992511474;40683028028
2021-09-15 00:00:00 UTC;47135;886524004597;38645575966
2021-09-16 00:00:00 UTC;48187;906727769791;30037816650
2021-09-17 00:00:00 UTC;47879;900990520812;31578783375
2021-09-18 00:00:00 UTC;47229;892585184978;27731209179
2021-09-19 00:00:00 UTC;48267;907957032341;27630476158
2021-09-20 00:00:00 UTC;47371;891560241243;26163167369
2021-09-21 00:00:00 UTC;42933;805826302811;41220025454
2021-09-22 00:00:00 UTC;40387;760802031651;45940419565
2021-09-23 00:00:00 UTC;43587;820460824051;36624234960
2021-09-24 00:00:00 UTC;44981;846615719474;33594750550
2021-09-25 00:00:00 UTC;42752;809772498813;42973070343
2021-09-26 00:00:00 UTC;42857;808279417023;30898116660
2021-09-27 00:00:00 UTC;43337;825341135636;30462815705
2021-09-28 00:00:00 UTC;42247;794889951096;30483144439
2021-09-29 00:00:00 UTC;41010;775534111089;29691944223
2021-09-30 00:00:00 UTC;41588;782626384092;30068690312
2021-10-01 00:00:00 UTC;43859;827840965060;30859918335
2021-10-02 00:00:00 UTC;48182;906929641889;42089383190
2021-10-03 00:00:00 UTC;47778;900582483713;29742127388
2021-10-04 00:00:00 UTC;48283;910331395887;26034594562
2021-10-05 00:00:00 UTC;49260;927812140868;32691763060
2021-10-06 00:00:00 UTC;51669;973040988103;35480330025
2021-10-07 00:00:00 UTC;55415;1044675252844;48462388016
2021-10-08 00:00:00 UTC;53895;1015246512239;36549815857
2021-10-09 00:00:00 UTC;54011;1016650501581;33935485257
2021-10-10 00:00:00 UTC;55125;1038524699061;31927344846
2021-10-11 00:00:00 UTC;54712;1030788036762;38579271671
2021-10-12 00:00:00 UTC;57573;1084736227838;41913482915
2021-10-13 00:00:00 UTC;56335;1061829863954;40021384611
2021-10-14 00:00:00 UTC;57488;1083366079899;41216945749
2021-10-15 00:00:00 UTC;57452;1082900149763;35994603913
2021-10-16 00:00:00 UTC;61809;1164782155730;53653355008
2021-10-17 00:00:00 UTC;61166;1153847028825;35385452269
2021-10-18 00:00:00 UTC;61584;1160650121142;29625957542
2021-10-19 00:00:00 UTC;62018;1173944883530;39610183787
2021-10-20 00:00:00 UTC;64518;1217582580303;42550624869
2021-10-21 00:00:00 UTC;66238;1250376460616;40790757382
2021-10-22 00:00:00 UTC;62541;1178926819141;48709960686
2021-10-23 00:00:00 UTC;61029;1151508584005;40766460605
2021-10-24 00:00:00 UTC;61572;1161166467847;28505039148
2021-10-25 00:00:00 UTC;61173;1153315262663;29982535557
2021-10-26 00:00:00 UTC;63228;1192131994833;30852852368
2021-10-27 00:00:00 UTC;60604;1143497865065;33233702858
2021-10-28 00:00:00 UTC;58641;1105754837661;43976252157
2021-10-29 00:00:00 UTC;60768;1145912030969;52318597557
2021-10-30 00:00:00 UTC;62283;1178047465292;38648967245
2021-10-31 00:00:00 UTC;61837;1166423768410;31810216330
2021-11-01 00:00:00 UTC;61472;1159841954948;32494948461
2021-11-02 00:00:00 UTC;61122;1152831210804;35834742028
2021-11-03 00:00:00 UTC;63247;1186951581189;37335066460
2021-11-04 00:00:00 UTC;63131;1187048124214;36561444797
2021-11-05 00:00:00 UTC;61602;1157101738113;33152275947
2021-11-06 00:00:00 UTC;61247;1154530569293;31182137448
2021-11-07 00:00:00 UTC;61661;1162489871875;31423601393
2021-11-08 00:00:00 UTC;63153;1191631271448;24877902990
2021-11-09 00:00:00 UTC;67617;1278797895528;105426313891
2021-11-10 00:00:00 UTC;67145;1268116896159;41207912438
2021-11-11 00:00:00 UTC;65061;1221681091091;48648563669
2021-11-12 00:00:00 UTC;65006;1228606858157;35457583783
2021-11-13 00:00:00 UTC;64432;1215930166023;36872626218
2021-11-14 00:00:00 UTC;64660;1220299721851;29677693457
2021-11-15 00:00:00 UTC;65649;1239021452561;26088449437
2021-11-16 00:00:00 UTC;63934;1206711952538;32107212452
2021-11-17 00:00:00 UTC;60449;1141910823556;48978396011
2021-11-18 00:00:00 UTC;60604;1138136620641;39200729529
2021-11-19 00:00:00 UTC;56987;1075758915731;41828523862
2021-11-20 00:00:00 UTC;58459;1103594176399;37851259606
2021-11-21 00:00:00 UTC;60083;1134300362589;29676550712
2021-11-22 00:00:00 UTC;59140;1120610791476;25743426947
2021-11-23 00:00:00 UTC;56387;1064619437494;34001467919
2021-11-24 00:00:00 UTC;57749;1090380950871;36421192857
2021-11-25 00:00:00 UTC;57198;1080039673037;31695369988
2021-11-26 00:00:00 UTC;58898;1112182356757;33721097081
2021-11-27 00:00:00 UTC;53828;1016487054820;41325811946
2021-11-28 00:00:00 UTC;54533;1030781591913;28256851068
2021-11-29 00:00:00 UTC;57238;1080980050981;27659464987
2021-11-30 00:00:00 UTC;57849;1092574224476;30985196647
2021-12-01 00:00:00 UTC;57011;1076804436724;35723038604
2021-12-02 00:00:00 UTC;57169;1079838995017;49383073891
2021-12-03 00:00:00 UTC;56508;1067406204923;36296342257
2021-12-04 00:00:00 UTC;53786;1016040747070;39527112726
2021-12-05 00:00:00 UTC;49162;930097457942;55941408415
2021-12-06 00:00:00 UTC;49268;932015145132;32826574574
2021-12-07 00:00:00 UTC;50462;953396710270;36126018722
2021-12-08 00:00:00 UTC;50648;956961313926;30083305920
2021-12-09 00:00:00 UTC;50530;954800139986;26590164539
2021-12-10 00:00:00 UTC;47886;904878061657;27269362515
2021-12-11 00:00:00 UTC;47304;893919955030;29611257205
2021-12-12 00:00:00 UTC;49242;930603779264;24619129767
2021-12-13 00:00:00 UTC;50051;945932497231;19871029748
2021-12-14 00:00:00 UTC;46696;882570058437;29628245402
2021-12-15 00:00:00 UTC;48410,564656309325;915015634616,989;30152105689,95273
